"","pais","sexo","rango_edad","tasa_suicidio"
"50","Belize"," Male","sobre_80",36.2
"51","Belize"," Female","sobre_80",10.4
"52","Benin"," Both sexes","sobre_80",90
"53","Benin"," Male","sobre_80",146.4
"54","Benin"," Female","sobre_80",55.6
"55","Bhutan"," Both sexes","sobre_80",18.9
"56","Bhutan"," Male","sobre_80",28.7
"57","Bhutan"," Female","sobre_80",7.7
"58","Bolivia (Plurinational State of)"," Both sexes","sobre_80",14.1
"59","Bolivia (Plurinational State of)"," Male","sobre_80",19.4
"60","Bolivia (Plurinational State of)"," Female","sobre_80",10.2
"61","Bosnia and Herzegovina"," Both sexes","sobre_80",21
"62","Bosnia and Herzegovina"," Male","sobre_80",41.5
"63","Bosnia and Herzegovina"," Female","sobre_80",9.7
"64","Botswana"," Both sexes","sobre_80",48.9
"65","Botswana"," Male","sobre_80",89.2
"66","Botswana"," Female","sobre_80",28.9
"67","Brazil"," Both sexes","sobre_80",19.5
"68","Brazil"," Male","sobre_80",31.9
"69","Brazil"," Female","sobre_80",12.3
"70","Brunei Darussalam"," Both sexes","sobre_80",10.5
"71","Brunei Darussalam"," Male","sobre_80",13.6
"72","Brunei Darussalam"," Female","sobre_80",8.1
"73","Bulgaria"," Both sexes","sobre_80",35.3
"74","Bulgaria"," Male","sobre_80",64.5
"75","Bulgaria"," Female","sobre_80",18.9
"76","Burkina Faso"," Both sexes","sobre_80",108
"77","Burkina Faso"," Male","sobre_80",214.7
"78","Burkina Faso"," Female","sobre_80",47.4
"79","Burundi"," Both sexes","sobre_80",93.7
"80","Burundi"," Male","sobre_80",174.8
"81","Burundi"," Female","sobre_80",34
"82","Cabo Verde"," Both sexes","sobre_80",116.3
"83","Cabo Verde"," Male","sobre_80",178.9
"84","Cabo Verde"," Female","sobre_80",79.2
"85","Cambodia"," Both sexes","sobre_80",15.5
"86","Cambodia"," Male","sobre_80",25.5
"87","Cambodia"," Female","sobre_80",9.3
"88","Cameroon"," Both sexes","sobre_80",113.3
"89","Cameroon"," Male","sobre_80",168.3
"90","Cameroon"," Female","sobre_80",72.5
"91","Canada"," Both sexes","sobre_80",21.8
"92","Canada"," Male","sobre_80",29.7
"93","Canada"," Female","sobre_80",16.8
"94","Central African Republic"," Both sexes","sobre_80",51.7
"95","Central African Republic"," Male","sobre_80",98.8
"96","Central African Republic"," Female","sobre_80",21.8
"97","Chad"," Both sexes","sobre_80",76.8
"98","Chad"," Male","sobre_80",83.8
"99","Chad"," Female","sobre_80",71.7
"100","Chile"," Both sexes","sobre_80",15.3
"101","Chile"," Male","sobre_80",39.4
"102","Chile"," Female","sobre_80",2.5
"103","China"," Both sexes","sobre_80",61.3
"104","China"," Male","sobre_80",73.2
"105","China"," Female","sobre_80",52.3
"106","Colombia"," Both sexes","sobre_80",10.1
"107","Colombia"," Male","sobre_80",22.9
"108","Colombia"," Female","sobre_80",1.8
"109","Comoros"," Both sexes","sobre_80",70.1
"110","Comoros"," Male","sobre_80",138.1
"111","Comoros"," Female","sobre_80",24.6
"112","Congo"," Both sexes","sobre_80",55.9
"113","Congo"," Male","sobre_80",99.4
"114","Congo"," Female","sobre_80",23
"115","Costa Rica"," Both sexes","sobre_80",9.4
"116","Costa Rica"," Male","sobre_80",14.5
"117","Costa Rica"," Female","sobre_80",5.7
"118","Côte d'Ivoire"," Both sexes","sobre_80",130.7
"119","Côte d'Ivoire"," Male","sobre_80",202.6
"120","Côte d'Ivoire"," Female","sobre_80",52
"121","Croatia"," Both sexes","sobre_80",40.9
"122","Croatia"," Male","sobre_80",91.5
"123","Croatia"," Female","sobre_80",17.6
"124","Cuba"," Both sexes","sobre_80",51.9
"125","Cuba"," Male","sobre_80",101
"126","Cuba"," Female","sobre_80",16.5
"127","Cyprus"," Both sexes","sobre_80",6.8
"128","Cyprus"," Male","sobre_80",9.3
"129","Cyprus"," Female","sobre_80",5.2
"130","Czechia"," Both sexes","sobre_80",22.4
"131","Czechia"," Male","sobre_80",55.4
"132","Czechia"," Female","sobre_80",6
"133","Democratic People's Republic of Korea"," Both sexes","sobre_80",40.9
"134","Democratic People's Republic of Korea"," Male","sobre_80",100
"135","Democratic People's Republic of Korea"," Female","sobre_80",27.2
"136","Democratic Republic of the Congo"," Both sexes","sobre_80",57.5
"137","Democratic Republic of the Congo"," Male","sobre_80",106
"138","Democratic Republic of the Congo"," Female","sobre_80",24.7
"139","Denmark"," Both sexes","sobre_80",49.6
"140","Denmark"," Male","sobre_80",56.4
"141","Denmark"," Female","sobre_80",45.3
"142","Djibouti"," Both sexes","sobre_80",52.2
"143","Djibouti"," Male","sobre_80",91.2
"144","Djibouti"," Female","sobre_80",22.9
"145","Dominican Republic"," Both sexes","sobre_80",22
"146","Dominican Republic"," Male","sobre_80",32.8
"147","Dominican Republic"," Female","sobre_80",13.1
"148","Ecuador"," Both sexes","sobre_80",16.5
"149","Ecuador"," Male","sobre_80",30.1
"150","Ecuador"," Female","sobre_80",6.2
"151","Egypt"," Both sexes","sobre_80",8.6
"152","Egypt"," Male","sobre_80",13.7
"153","Egypt"," Female","sobre_80",5.5
"154","El Salvador"," Both sexes","sobre_80",14
"155","El Salvador"," Male","sobre_80",27.6
"156","El Salvador"," Female","sobre_80",4.1
"157","Equatorial Guinea"," Both sexes","sobre_80",95.4
"158","Equatorial Guinea"," Male","sobre_80",171.8
"159","Equatorial Guinea"," Female","sobre_80",31.7
"160","Eritrea"," Both sexes","sobre_80",84.1
"161","Eritrea"," Male","sobre_80",165.4
"162","Eritrea"," Female","sobre_80",28
"163","Estonia"," Both sexes","sobre_80",36.2
"164","Estonia"," Male","sobre_80",83.2
"165","Estonia"," Female","sobre_80",20.2
"166","Eswatini"," Both sexes","sobre_80",46.1
"167","Eswatini"," Male","sobre_80",77.4
"168","Eswatini"," Female","sobre_80",29.5
"169","Ethiopia"," Both sexes","sobre_80",87.6
"170","Ethiopia"," Male","sobre_80",160.5
"171","Ethiopia"," Female","sobre_80",26.6
"172","Fiji"," Both sexes","sobre_80",43.6
"173","Fiji"," Male","sobre_80",111.2
"174","Fiji"," Female","sobre_80",0
"175","Finland"," Both sexes","sobre_80",22
"176","Finland"," Male","sobre_80",40.3
"177","Finland"," Female","sobre_80",12.3
"178","France"," Both sexes","sobre_80",73.4
"179","France"," Male","sobre_80",96.8
"180","France"," Female","sobre_80",60.1
"181","Gabon"," Both sexes","sobre_80",64.4
"182","Gabon"," Male","sobre_80",123.1
"183","Gabon"," Female","sobre_80",24.2
"184","Gambia"," Both sexes","sobre_80",78.9
"185","Gambia"," Male","sobre_80",110
"186","Gambia"," Female","sobre_80",50.1
"187","Georgia"," Both sexes","sobre_80",20.9
"188","Georgia"," Male","sobre_80",42.6
"189","Georgia"," Female","sobre_80",10.5
"190","Germany"," Both sexes","sobre_80",39.2
"191","Germany"," Male","sobre_80",68.9
"192","Germany"," Female","sobre_80",22.2
"193","Ghana"," Both sexes","sobre_80",70.7
"194","Ghana"," Male","sobre_80",165
"195","Ghana"," Female","sobre_80",15.7
"196","Greece"," Both sexes","sobre_80",7.2
"197","Greece"," Male","sobre_80",14.3
"198","Greece"," Female","sobre_80",2.4
"199","Grenada"," Both sexes","sobre_80",51.6
"200","Grenada"," Male","sobre_80",0
"201","Grenada"," Female","sobre_80",79.1
"202","Guatemala"," Both sexes","sobre_80",7.4
"203","Guatemala"," Male","sobre_80",6.6
"204","Guatemala"," Female","sobre_80",8
"205","Guinea"," Both sexes","sobre_80",78.5
"206","Guinea"," Male","sobre_80",102.2
"207","Guinea"," Female","sobre_80",59.9
"208","Guinea-Bissau"," Both sexes","sobre_80",66.9
"209","Guinea-Bissau"," Male","sobre_80",87.3
"210","Guinea-Bissau"," Female","sobre_80",52.3
"211","Guyana"," Both sexes","sobre_80",38.6
"212","Guyana"," Male","sobre_80",91.4
"213","Guyana"," Female","sobre_80",0
"214","Haiti"," Both sexes","sobre_80",15
"215","Haiti"," Male","sobre_80",24.7
"216","Haiti"," Female","sobre_80",8.3
"217","Honduras"," Both sexes","sobre_80",15.8
"218","Honduras"," Male","sobre_80",27.9
"219","Honduras"," Female","sobre_80",7.2
"220","Hungary"," Both sexes","sobre_80",47.4
"221","Hungary"," Male","sobre_80",99.3
"222","Hungary"," Female","sobre_80",25.9
"223","Iceland"," Both sexes","sobre_80",8
"224","Iceland"," Male","sobre_80",0
"225","Iceland"," Female","sobre_80",13.7
"226","India"," Both sexes","sobre_80",24.5
"227","India"," Male","sobre_80",37.7
"228","India"," Female","sobre_80",13.6
"229","Indonesia"," Both sexes","sobre_80",14.4
"230","Indonesia"," Male","sobre_80",18.2
"231","Indonesia"," Female","sobre_80",12
"232","Iran (Islamic Republic of)"," Both sexes","sobre_80",14.3
"233","Iran (Islamic Republic of)"," Male","sobre_80",18.2
"234","Iran (Islamic Republic of)"," Female","sobre_80",10
"235","Iraq"," Both sexes","sobre_80",9.1
"236","Iraq"," Male","sobre_80",11.9
"237","Iraq"," Female","sobre_80",7.4
"238","Ireland"," Both sexes","sobre_80",11
"239","Ireland"," Male","sobre_80",11.7
"240","Ireland"," Female","sobre_80",10.6
"241","Israel"," Both sexes","sobre_80",19
"242","Israel"," Male","sobre_80",27.5
"243","Israel"," Female","sobre_80",13.5
"244","Italy"," Both sexes","sobre_80",22.9
"245","Italy"," Male","sobre_80",37
"246","Italy"," Female","sobre_80",14.6
"247","Jamaica"," Both sexes","sobre_80",5.3
"248","Jamaica"," Male","sobre_80",6.7
"249","Jamaica"," Female","sobre_80",4.3
"250","Japan"," Both sexes","sobre_80",27.8
"251","Japan"," Male","sobre_80",42.6
"252","Japan"," Female","sobre_80",19.7
"253","Jordan"," Both sexes","sobre_80",18.8
"254","Jordan"," Male","sobre_80",25.8
"255","Jordan"," Female","sobre_80",13.2
"256","Kazakhstan"," Both sexes","sobre_80",50.1
"257","Kazakhstan"," Male","sobre_80",90.6
"258","Kazakhstan"," Female","sobre_80",33.7
"259","Kenya"," Both sexes","sobre_80",56.2
"260","Kenya"," Male","sobre_80",107.7
"261","Kenya"," Female","sobre_80",17.1
"262","Kiribati"," Both sexes","sobre_80",37.1
"263","Kiribati"," Male","sobre_80",71
"264","Kiribati"," Female","sobre_80",21.6
"265","Kuwait"," Both sexes","sobre_80",0
"266","Kuwait"," Male","sobre_80",0
"267","Kuwait"," Female","sobre_80",0
"268","Kyrgyzstan"," Both sexes","sobre_80",14.3
"269","Kyrgyzstan"," Male","sobre_80",14.2
"270","Kyrgyzstan"," Female","sobre_80",14.4
"271","Lao People's Democratic Republic"," Both sexes","sobre_80",28.7
"272","Lao People's Democratic Republic"," Male","sobre_80",44.4
"273","Lao People's Democratic Republic"," Female","sobre_80",18.1
"274","Latvia"," Both sexes","sobre_80",31.7
"275","Latvia"," Male","sobre_80",74
"276","Latvia"," Female","sobre_80",17.6
"277","Lebanon"," Both sexes","sobre_80",11.3
"278","Lebanon"," Male","sobre_80",16.6
"279","Lebanon"," Female","sobre_80",7.2
"280","Lesotho"," Both sexes","sobre_80",164.7
"281","Lesotho"," Male","sobre_80",80.8
"282","Lesotho"," Female","sobre_80",210.4
"283","Liberia"," Both sexes","sobre_80",132.1
"284","Liberia"," Male","sobre_80",140
"285","Liberia"," Female","sobre_80",126
"286","Libya"," Both sexes","sobre_80",15.1
"287","Libya"," Male","sobre_80",23.9
"288","Libya"," Female","sobre_80",8.7
"289","Lithuania"," Both sexes","sobre_80",46
"290","Lithuania"," Male","sobre_80",126.6
"291","Lithuania"," Female","sobre_80",18
"292","Luxembourg"," Both sexes","sobre_80",32.8
"293","Luxembourg"," Male","sobre_80",44.4
"294","Luxembourg"," Female","sobre_80",26.1
"295","Madagascar"," Both sexes","sobre_80",56.2
"296","Madagascar"," Male","sobre_80",98.6
"297","Madagascar"," Female","sobre_80",20.4
"298","Malawi"," Both sexes","sobre_80",90.8
"299","Malawi"," Male","sobre_80",178
"300","Malawi"," Female","sobre_80",32.5
"301","Malaysia"," Both sexes","sobre_80",47.3
"302","Malaysia"," Male","sobre_80",60.1
"303","Malaysia"," Female","sobre_80",36.4
"304","Maldives"," Both sexes","sobre_80",26
"305","Maldives"," Male","sobre_80",34.9
"306","Maldives"," Female","sobre_80",14.3
"307","Mali"," Both sexes","sobre_80",69.2
"308","Mali"," Male","sobre_80",113.9
"309","Mali"," Female","sobre_80",31.9
"310","Malta"," Both sexes","sobre_80",12.4
"311","Malta"," Male","sobre_80",33
"312","Malta"," Female","sobre_80",0
"313","Mauritania"," Both sexes","sobre_80",60.5
"314","Mauritania"," Male","sobre_80",112.3
"315","Mauritania"," Female","sobre_80",25.8
"316","Mauritius"," Both sexes","sobre_80",4
"317","Mauritius"," Male","sobre_80",11.5
"318","Mauritius"," Female","sobre_80",0
"319","Mexico"," Both sexes","sobre_80",15.7
"320","Mexico"," Male","sobre_80",24.8
"321","Mexico"," Female","sobre_80",9.5
"322","Micronesia (Federated States of)"," Both sexes","sobre_80",39.7
"323","Micronesia (Federated States of)"," Male","sobre_80",61.3
"324","Micronesia (Federated States of)"," Female","sobre_80",24.7
"325","Mongolia"," Both sexes","sobre_80",19
"326","Mongolia"," Male","sobre_80",42.8
"327","Mongolia"," Female","sobre_80",6.6
"328","Montenegro"," Both sexes","sobre_80",42
"329","Montenegro"," Male","sobre_80",70.8
"330","Montenegro"," Female","sobre_80",23.9
"331","Morocco"," Both sexes","sobre_80",18.5
"332","Morocco"," Male","sobre_80",16.2
"333","Morocco"," Female","sobre_80",20
"334","Mozambique"," Both sexes","sobre_80",76.3
"335","Mozambique"," Male","sobre_80",154.6
"336","Mozambique"," Female","sobre_80",27.7
"337","Myanmar"," Both sexes","sobre_80",26.6
"338","Myanmar"," Male","sobre_80",17.8
"339","Myanmar"," Female","sobre_80",32.1
"340","Namibia"," Both sexes","sobre_80",39.1
"341","Namibia"," Male","sobre_80",75.9
"342","Namibia"," Female","sobre_80",18.7
"343","Nepal"," Both sexes","sobre_80",38.6
"344","Nepal"," Male","sobre_80",59
"345","Nepal"," Female","sobre_80",22.8
"346","Netherlands"," Both sexes","sobre_80",32.8
"347","Netherlands"," Male","sobre_80",37.6
"348","Netherlands"," Female","sobre_80",29.9
"349","New Zealand"," Both sexes","sobre_80",21.7
"350","New Zealand"," Male","sobre_80",24.4
"351","New Zealand"," Female","sobre_80",19.7
"352","Nicaragua"," Both sexes","sobre_80",9.4
"353","Nicaragua"," Male","sobre_80",19.4
"354","Nicaragua"," Female","sobre_80",2.4
"355","Niger"," Both sexes","sobre_80",69.1
"356","Niger"," Male","sobre_80",94.7
"357","Niger"," Female","sobre_80",49.2
"358","Nigeria"," Both sexes","sobre_80",127
"359","Nigeria"," Male","sobre_80",130.7
"360","Nigeria"," Female","sobre_80",123.9
"361","Norway"," Both sexes","sobre_80",32.1
"362","Norway"," Male","sobre_80",37.1
"363","Norway"," Female","sobre_80",29.1
"364","Oman"," Both sexes","sobre_80",11.7
"365","Oman"," Male","sobre_80",16.4
"366","Oman"," Female","sobre_80",7.9
"367","Pakistan"," Both sexes","sobre_80",7.5
"368","Pakistan"," Male","sobre_80",7.5
"369","Pakistan"," Female","sobre_80",7.5
"370","Panama"," Both sexes","sobre_80",9.5
"371","Panama"," Male","sobre_80",15.7
"372","Panama"," Female","sobre_80",4.5
"373","Papua New Guinea"," Both sexes","sobre_80",20.6
"374","Papua New Guinea"," Male","sobre_80",33
"375","Papua New Guinea"," Female","sobre_80",13.7
"376","Paraguay"," Both sexes","sobre_80",11
"377","Paraguay"," Male","sobre_80",19.9
"378","Paraguay"," Female","sobre_80",4.2
"379","Peru"," Both sexes","sobre_80",11.7
"380","Peru"," Male","sobre_80",17.5
"381","Peru"," Female","sobre_80",7.8
"382","Philippines"," Both sexes","sobre_80",35.1
"383","Philippines"," Male","sobre_80",39.3
"384","Philippines"," Female","sobre_80",32.6
"385","Poland"," Both sexes","sobre_80",14.5
"386","Poland"," Male","sobre_80",35.8
"387","Poland"," Female","sobre_80",5.1
"388","Portugal"," Both sexes","sobre_80",47.3
"389","Portugal"," Male","sobre_80",94.9
"390","Portugal"," Female","sobre_80",20.2
"391","Qatar"," Both sexes","sobre_80",17.1
"392","Qatar"," Male","sobre_80",26.3
"393","Qatar"," Female","sobre_80",5.2
"394","Republic of Korea"," Both sexes","sobre_80",83.6
"395","Republic of Korea"," Male","sobre_80",155
"396","Republic of Korea"," Female","sobre_80",51.5
"397","Republic of Moldova"," Both sexes","sobre_80",19.7
"398","Republic of Moldova"," Male","sobre_80",34.5
"399","Republic of Moldova"," Female","sobre_80",12.9
"400","Republic of North Macedonia"," Both sexes","sobre_80",29.1
"401","Republic of North Macedonia"," Male","sobre_80",46.1
"402","Republic of North Macedonia"," Female","sobre_80",17.7
"403","Romania"," Both sexes","sobre_80",16
"404","Romania"," Male","sobre_80",31.6
"405","Romania"," Female","sobre_80",7.2
"406","Russian Federation"," Both sexes","sobre_80",46.7
"407","Russian Federation"," Male","sobre_80",101
"408","Russian Federation"," Female","sobre_80",28.4
"409","Rwanda"," Both sexes","sobre_80",93.4
"410","Rwanda"," Male","sobre_80",168.5
"411","Rwanda"," Female","sobre_80",40.7
"412","Saint Lucia"," Both sexes","sobre_80",7.2
"413","Saint Lucia"," Male","sobre_80",18
"414","Saint Lucia"," Female","sobre_80",0
"415","Saint Vincent and the Grenadines"," Both sexes","sobre_80",0
"416","Saint Vincent and the Grenadines"," Male","sobre_80",0
"417","Saint Vincent and the Grenadines"," Female","sobre_80",0
"418","Samoa"," Both sexes","sobre_80",30.1
"419","Samoa"," Male","sobre_80",53.9
"420","Samoa"," Female","sobre_80",17.8
"421","Sao Tome and Principe"," Both sexes","sobre_80",15
"422","Sao Tome and Principe"," Male","sobre_80",18.6
"423","Sao Tome and Principe"," Female","sobre_80",11
"424","Saudi Arabia"," Both sexes","sobre_80",8.5
"425","Saudi Arabia"," Male","sobre_80",11.6
"426","Saudi Arabia"," Female","sobre_80",5.8
"427","Senegal"," Both sexes","sobre_80",119.9
"428","Senegal"," Male","sobre_80",231.3
"429","Senegal"," Female","sobre_80",44.1
"430","Serbia"," Both sexes","sobre_80",64.6
"431","Serbia"," Male","sobre_80",121.1
"432","Serbia"," Female","sobre_80",33.7
"433","Seychelles"," Both sexes","sobre_80",25.3
"434","Seychelles"," Male","sobre_80",47.8
"435","Seychelles"," Female","sobre_80",14.3
"436","Sierra Leone"," Both sexes","sobre_80",93.7
"437","Sierra Leone"," Male","sobre_80",112.8
"438","Sierra Leone"," Female","sobre_80",76.6
"439","Singapore"," Both sexes","sobre_80",26.8
"440","Singapore"," Male","sobre_80",46.1
"441","Singapore"," Female","sobre_80",14.7
"442","Slovakia"," Both sexes","sobre_80",21.7
"443","Slovakia"," Male","sobre_80",55.5
"444","Slovakia"," Female","sobre_80",6.7
"445","Slovenia"," Both sexes","sobre_80",38.9
"446","Slovenia"," Male","sobre_80",96.4
"447","Slovenia"," Female","sobre_80",12.2
"448","Solomon Islands"," Both sexes","sobre_80",32.4
"449","Solomon Islands"," Male","sobre_80",46.3
"450","Solomon Islands"," Female","sobre_80",18.8
"451","Somalia"," Both sexes","sobre_80",49.9
"452","Somalia"," Male","sobre_80",84
"453","Somalia"," Female","sobre_80",23.9
"454","South Africa"," Both sexes","sobre_80",33.3
"455","South Africa"," Male","sobre_80",61.6
"456","South Africa"," Female","sobre_80",22.1
"457","South Sudan"," Both sexes","sobre_80",42.7
"458","South Sudan"," Male","sobre_80",71.6
"459","South Sudan"," Female","sobre_80",21
"460","Spain"," Both sexes","sobre_80",21.2
"461","Spain"," Male","sobre_80",41.3
"462","Spain"," Female","sobre_80",9.5
"463","Sri Lanka"," Both sexes","sobre_80",50.9
"464","Sri Lanka"," Male","sobre_80",84.7
"465","Sri Lanka"," Female","sobre_80",28.2
"466","Sudan"," Both sexes","sobre_80",9.5
"467","Sudan"," Male","sobre_80",14
"468","Sudan"," Female","sobre_80",6
"469","Suriname"," Both sexes","sobre_80",61
"470","Suriname"," Male","sobre_80",95
"471","Suriname"," Female","sobre_80",39.2
"472","Sweden"," Both sexes","sobre_80",45.3
"473","Sweden"," Male","sobre_80",47
"474","Sweden"," Female","sobre_80",44.2
"475","Switzerland"," Both sexes","sobre_80",84.6
"476","Switzerland"," Male","sobre_80",107.3
"477","Switzerland"," Female","sobre_80",71.1
"478","Syrian Arab Republic"," Both sexes","sobre_80",10
"479","Syrian Arab Republic"," Male","sobre_80",12.5
"480","Syrian Arab Republic"," Female","sobre_80",8
"481","Tajikistan"," Both sexes","sobre_80",12.4
"482","Tajikistan"," Male","sobre_80",17.1
"483","Tajikistan"," Female","sobre_80",9.1
"484","Thailand"," Both sexes","sobre_80",27.3
"485","Thailand"," Male","sobre_80",38.9
"486","Thailand"," Female","sobre_80",19.5
"487","Timor-Leste"," Both sexes","sobre_80",27.4
"488","Timor-Leste"," Male","sobre_80",35.7
"489","Timor-Leste"," Female","sobre_80",21.8
"490","Togo"," Both sexes","sobre_80",124.5
"491","Togo"," Male","sobre_80",187.6
"492","Togo"," Female","sobre_80",75.5
"493","Tonga"," Both sexes","sobre_80",20.4
"494","Tonga"," Male","sobre_80",25.8
"495","Tonga"," Female","sobre_80",17.7
"496","Trinidad and Tobago"," Both sexes","sobre_80",17.6
"497","Trinidad and Tobago"," Male","sobre_80",50.9
"498","Trinidad and Tobago"," Female","sobre_80",0
"499","Tunisia"," Both sexes","sobre_80",13.2
"500","Tunisia"," Male","sobre_80",16
"501","Tunisia"," Female","sobre_80",11.2
"502","Turkey"," Both sexes","sobre_80",10.1
"503","Turkey"," Male","sobre_80",18.5
"504","Turkey"," Female","sobre_80",5.4
"505","Turkmenistan"," Both sexes","sobre_80",11.1
"506","Turkmenistan"," Male","sobre_80",17.2
"507","Turkmenistan"," Female","sobre_80",7.8
"508","Uganda"," Both sexes","sobre_80",153.3
"509","Uganda"," Male","sobre_80",176.6
"510","Uganda"," Female","sobre_80",137.2
"511","Ukraine"," Both sexes","sobre_80",34.2
"512","Ukraine"," Male","sobre_80",79
"513","Ukraine"," Female","sobre_80",17.4
"514","United Arab Emirates"," Both sexes","sobre_80",6.7
"515","United Arab Emirates"," Male","sobre_80",9
"516","United Arab Emirates"," Female","sobre_80",3.3
"517","United Kingdom of Great Britain and Northern Ireland"," Both sexes","sobre_80",15.4
"518","United Kingdom of Great Britain and Northern Ireland"," Male","sobre_80",19.7
"519","United Kingdom of Great Britain and Northern Ireland"," Female","sobre_80",12.6
"520","United Republic of Tanzania"," Both sexes","sobre_80",80.6
"521","United Republic of Tanzania"," Male","sobre_80",139.2
"522","United Republic of Tanzania"," Female","sobre_80",29.4
"523","United States of America"," Both sexes","sobre_80",25.1
"524","United States of America"," Male","sobre_80",49.7
"525","United States of America"," Female","sobre_80",9.6
"526","Uruguay"," Both sexes","sobre_80",38.9
"527","Uruguay"," Male","sobre_80",89.7
"528","Uruguay"," Female","sobre_80",17.5
"529","Uzbekistan"," Both sexes","sobre_80",4.8
"530","Uzbekistan"," Male","sobre_80",7.1
"531","Uzbekistan"," Female","sobre_80",3.5
"532","Vanuatu"," Both sexes","sobre_80",31.2
"533","Vanuatu"," Male","sobre_80",45.8
"534","Vanuatu"," Female","sobre_80",16.8
"535","Venezuela (Bolivarian Republic of)"," Both sexes","sobre_80",8.9
"536","Venezuela (Bolivarian Republic of)"," Male","sobre_80",20.5
"537","Venezuela (Bolivarian Republic of)"," Female","sobre_80",2.2
"538","Viet Nam"," Both sexes","sobre_80",20.9
"539","Viet Nam"," Male","sobre_80",29.4
"540","Viet Nam"," Female","sobre_80",17.1
"541","Yemen"," Both sexes","sobre_80",13.1
"542","Yemen"," Male","sobre_80",18.2
"543","Yemen"," Female","sobre_80",9.4
"544","Zambia"," Both sexes","sobre_80",79.7
"545","Zambia"," Male","sobre_80",152.1
"546","Zambia"," Female","sobre_80",31.2
"547","Zimbabwe"," Both sexes","sobre_80",205.7
"548","Zimbabwe"," Male","sobre_80",285
"549","Zimbabwe"," Female","sobre_80",152.4
"550","Afghanistan"," Both sexes","70to79",11
"551","Afghanistan"," Male","70to79",20.9
"552","Afghanistan"," Female","70to79",2.3
"553","Albania"," Both sexes","70to79",8.3
"554","Albania"," Male","70to79",11.9
"555","Albania"," Female","70to79",4.9
"556","Algeria"," Both sexes","70to79",5.6
"557","Algeria"," Male","70to79",8.4
"558","Algeria"," Female","70to79",3
"559","Angola"," Both sexes","70to79",42.1
"560","Angola"," Male","70to79",68.2
"561","Angola"," Female","70to79",21.7
"562","Antigua and Barbuda"," Both sexes","70to79",0
"563","Antigua and Barbuda"," Male","70to79",0
"564","Antigua and Barbuda"," Female","70to79",0
"565","Argentina"," Both sexes","70to79",11.6
"566","Argentina"," Male","70to79",22.7
"567","Argentina"," Female","70to79",3.7
"568","Armenia"," Both sexes","70to79",17.4
"569","Armenia"," Male","70to79",28.1
"570","Armenia"," Female","70to79",10.4
"571","Australia"," Both sexes","70to79",13.1
"572","Australia"," Male","70to79",19.8
"573","Australia"," Female","70to79",6.7
"574","Austria"," Both sexes","70to79",25.1
"575","Austria"," Male","70to79",40.6
"576","Austria"," Female","70to79",12.4
"577","Azerbaijan"," Both sexes","70to79",6.6
"578","Azerbaijan"," Male","70to79",10.4
"579","Azerbaijan"," Female","70to79",4
"580","Bahamas"," Both sexes","70to79",3
"581","Bahamas"," Male","70to79",5.4
"582","Bahamas"," Female","70to79",1.3
"583","Bahrain"," Both sexes","70to79",11
"584","Bahrain"," Male","70to79",17.7
